,Council Area,Average
0,S12000005,1.2051111111111152
1,S12000006,1.2588888888888945
2,S12000008,1.2633333333333343
3,S12000010,1.2304444444444476
4,S12000011,1.1960000000000026
5,S12000013,1.1435555555555577
6,S12000014,1.2046666666666697
7,S12000015,1.281111111111115
8,S12000017,1.2840000000000025
9,S12000018,1.223333333333336
10,S12000019,1.2513333333333365
11,S12000020,1.2204444444444484
12,S12000021,1.2891111111111127
13,S12000023,1.2611111111111137
14,S12000024,1.2604444444444498
15,S12000026,1.2408888888888936
16,S12000027,1.055111111111112
17,S12000028,1.245777777777778
18,S12000029,1.2362222222222259
19,S12000030,1.1888888888888929
20,S12000033,1.306000000000003
21,S12000034,1.203555555555558
22,S12000035,1.2486666666666686
23,S12000036,1.3004444444444494
24,S12000038,1.2493333333333363
25,S12000039,1.2564444444444476
26,S12000040,1.2797777777777815
27,S12000041,1.2720000000000018
28,S12000042,1.2664444444444485
29,S12000044,1.23577777777778
30,S12000045,1.176888888888892
31,S12000046,1.293111111111115
32,S92000003,1.2441387559808652
